Word;Definition/Translation/Association;Group;Last Interogation Date;Number of Days since the last interogation;Number of Days before the next interogation
réfléchir à propos de;Nachdenken;8;2012-12-23T14:30:16;17;4;
Seriez vous pret a payer plus cher pour ca?;Wären Sie bereit, mehr Geld dafür zu bezahlen?;1;2013-01-08T22:06:44;0;1;
il s'est cruellement vengé d'elle;er hat sich grausam an ihr gerächt;1;2013-01-09T18:28:27;0;1;
je n'ai que feuilleté le journal;ich habe die Zeitung nur durchgeblättert;7;2013-01-05T16:45:18;4;9;
se rencontrer;sich begegnen;7;2012-12-31T14:44:39;9;4;
demarer l´odinateur;den Computer hochfahren;8;2012-12-24T12:37:03;16;5;
profiter (sans entrave);auskosten;2;2013-01-09T00:34:18;0;1;
le camion;der Lastwagen;5;2013-01-09T18:30:40;0;5;
le bonheur;das Glück;8;2012-12-31T14:45:45;9;12;
l'entrepreneur;der Unternehmer;9;2013-01-08T18:50:04;1;33;
l'etonement;die Verwunderung;6;2013-01-02T18:19:01;7;1;
detester;verabscheuen;7;2013-01-09T20:22:31;0;13;
Ne me laissez pas en plan ici car je ne connais personne;Lassen Sie mich hier nicht im Stich, denn ich kenne niemanden;1;2013-01-09T18:33:47;0;1;
le suspect;der Tatverdächtige;7;2013-01-02T17:02:03;7;6;
l'ame;der Seele;5;2013-01-06T22:57:39;2;3;
cibler;festlegen;5;2013-01-08T18:53:35;1;4;
il dispose de beaucoup de temps libre;Er verfügt über viel freie Zeit;7;2012-12-31T14:13:21;9;4;
des lors que, sitôt;Sobald;9;2013-01-08T00:00:28;1;33;
eteindre,  anesthésier, couper le contact;ausschalten;8;2012-12-31T14:15:36;9;12;
l'hiver;der Winter;8;2012-12-25T11:38:16;15;6;
forcer, astreindre;nötigen;8;2012-12-25T11:39:37;15;6;
l´acceleration;das Hochfahren;7;2013-01-02T17:01:28;7;6;
Peux-tu encore utiliser ça ?;Kannst du das noch verwenden?;7;2013-01-09T20:22:52;0;13;
avoir une dent contre quelqu'un;jemanden nicht leiden können;7;2013-01-01T20:32:51;7;6;
un marque page;das Lesezeichen;4;2013-01-08T18:50:13;1;2;
en tout cas;Jedenfalls;4;2013-01-08T18:51:15;1;2;
disponible;verfügbar;9;2013-01-08T00:00:33;1;33;
la devinette, le mystére;das Rätsel;6;2013-01-02T17:00:34;7;1;
en general, generalement, au fait;überhaupt;7;2013-01-05T17:56:09;4;9;
debiter quelque chose d'un compte;abbuchen;8;2012-12-31T14:19:36;9;12;
la meuf;die Tussi;8;2012-12-31T14:18:58;9;12;
deporte a;verschoben;8;2012-12-24T12:40:54;16;5;
face a face;gegenüber;8;2013-01-05T16:43:47;4;17;
Je n'arrive pas à me decider à demenager;Ich kann mich nicht dazu entschließen umzuziehen;1;2013-01-09T18:32:17;0;1;
le defenseur;der Verteidiger;8;2013-01-03T22:31:17;5;16;
Il en a rien a faire des gens;Er hat keinen bock auf die Leute;8;2013-01-05T16:45:58;4;17;
circuler;kursieren;8;2012-12-25T11:39:23;15;6;
l'offre;das Anbieten;6;2013-01-09T18:29:43;0;8;
creer, edifer, fonder;begründen;6;2013-01-05T16:47:49;4;4;
polluant;umweltschädlich;3;2013-01-09T18:29:52;0;2;
Cette cravate va bien avec ta chemise;Diese Krawatte paßt gut zu deinem Hemd;2;2013-01-09T18:31:43;0;1;
defendre, maintenir; wahren;8;2012-12-31T14:48:10;9;12;
même;Sogar;9;2013-01-08T17:41:32;1;33;
expirer,  arriver à échéance;ablaufen;9;2013-01-08T00:01:14;1;33;
inéluctable;unvermeidbar;6;2013-01-06T21:57:16;2;6;
Je te félicite de ce succè;Ich gratuliere dir zu diesem Erfolg;1;2013-01-09T20:01:38;0;1;
la chiasse;der Durchfall;9;2013-01-08T00:01:19;1;33;
faire la gueule;spielen die beleidigte;3;2013-01-09T18:28:00;0;2;
le printemps;der Frühling;9;2013-01-08T00:00:17;1;33;
exterminer;ausroten;9;2013-01-08T00:08:42;1;33;
le paysan;der bauer;9;2013-01-06T18:11:15;3;31;
Le parlement doit désormais approuver la nomination des hauts serviteurs de l'État;Der Ernennung hoher Staatsbediensteter soll künftig das Parlament zustimmen;2;2013-01-09T00:34:50;0;1;
tous les membres du club ont participé à l'action;alle mitglieder des Vereins haben sich an der Aktion beteiligt;4;2013-01-08T18:50:43;1;2;
stocker, consigner;lagern;6;2013-01-05T16:47:52;4;4;
franc, sincere;aufrichtig;7;2013-01-04T15:56:09;5;8;
l'atmosphere;die Stimmung;8;2012-12-29T16:20:48;11;10;
un apercu;die Vorschau;1;2013-01-09T18:27:30;0;1;
la curiosite;die Neugier;7;2013-01-01T20:22:22;8;5;
l'information;die Benachrichtigung;5;2013-01-08T18:52:50;1;4;
Attends un peu que je t'attrape;Warte nur, wenn ich dich erwische;5;2013-01-08T18:51:03;1;4;
arrivées et départs des trains;Ankunft und Abfahrt der Züge;7;2013-01-04T15:59:04;5;8;
empfohlen;recomandé;3;2013-01-08T00:04:33;1;1;
jeudi;donnerstag;3;2013-01-09T00:33:23;0;2;
couvrir, caché;bedecken;7;2013-01-04T15:54:36;5;8;
prouver;beweisen;6;2013-01-06T21:59:33;2;6;
Le plus grand peintre de notre temps;Der größte Maler unserer zeit;5;2013-01-09T18:27:51;0;5;
dans ce cas présent;im vorliegenden fall;6;2013-01-06T21:56:36;2;6;
Je tiens beaucoup à elle;ich hänge sehr an ihr;4;2013-01-08T00:04:29;1;2;
choisi;ausgesucht;8;2012-12-26T11:18:33;14;7;
la loi mathematique, la propriete mathematique;das Gesetz;8;2012-12-31T14:44:56;9;12;
Qu'est ce qui est en jeu?;Was steht auf dem Spiel?;7;2012-12-31T14:18:48;9;4;
taper sur;schlagen;8;2013-01-05T16:51:56;4;17;
Il etait pale de frayeur;er war blaß vor Angst;5;2013-01-08T17:43:03;1;4;
J'y reste;Ich bleibe dort;8;2013-01-08T00:10:09;1;20;
se joindre a (un groupe);mitmachen;7;2012-12-31T14:19:07;9;4;
infecté;verseucht;8;2013-01-03T22:34:08;5;16;
commencer;anfangen;9;2013-01-02T17:01:19;7;27;
parler sans être interrompu;ausreden;9;2013-01-08T00:06:20;1;33;
chemin balisé de randonnée;der Wanderweg;8;2013-01-03T22:34:44;5;16;
l'admirateur;der Verehrer;8;2012-12-24T12:40:12;16;5;
une tarte au fraise;die Erdbeertorte;8;2012-12-29T16:26:12;11;10;
attraper, absorber, amortir;auffangen;6;2013-01-09T18:33:23;0;8;
Ce matin le téléphone n'a pas cessé de sonner;Heute Morgen hat das Telefon dauernd geläutet;5;2013-01-08T17:43:22;1;4;
Quelle sont les alternatives pour vous?;Was für Alternativen gibt es für sie?;3;2013-01-08T00:10:02;1;1;
excellent;ausgezeichnet;4;2013-01-08T00:03:27;1;2;
la meme;derselbe;7;2013-01-04T15:58:07;5;8;
briller, sembler;scheinen;9;2013-01-08T00:17:33;1;33;
sortir;ausgehen;9;2013-01-08T00:17:07;1;33;
berner;reinlegen;8;2013-01-05T16:49:24;4;17;
aimer, apprecier;schätzen;8;2012-12-31T14:24:56;9;12;
adimirer, reverer;verehren;7;2013-01-09T19:39:10;0;13;
un couple;das Paar;8;2013-01-03T22:39:29;5;16;
activer, allumer, enclencher;einschalten;8;2012-12-29T16:38:52;11;10;
il est passé devant moi sans me saluer;er ist an mir vorbeigegangen, ohne mich zu grüßen;1;2013-01-09T20:05:04;0;1;
faire du velo;radeln;8;2012-12-24T12:39:40;16;5;
Il m'arrive des fois d'oublier de fermer la porte à clef;Es passiert mir manchmal, dass ich vergesse, die Tür abzuschließen;1;2013-01-09T18:53:09;0;1;
bénévolement;ehrenamtlich;5;2013-01-08T17:41:46;1;4;
du coup;daher;8;2012-12-25T11:50:21;15;6;
Qu'est-ce qu'il veut au juste?	;Was will er denn eigentlich?;4;2013-01-09T19:00:56;0;3;
derrière;nach hinten;8;2012-12-25T11:48:52;15;6;
c'est l'enfer;es ist die hölle los;1;2013-01-09T19:57:21;0;1;
le jus de raisin;der Traubensaft;8;2013-01-03T22:37:03;5;16;
Qui peut boire le plus?;Wer kann am meisten trinken?;8;2013-01-03T22:40:05;5;16;
vers le sud;nach Süden;8;2012-12-25T11:51:05;15;6;
J'ai réussi à le persuader;Es ist mir gelungen, ihn zu überzeugen;1;2013-01-09T19:50:10;0;1;
c'est pourquoi;deswegen;7;2013-01-08T18:50:08;1;12;
Ma mere est plus jeune que sa cousine;Meine Mutter ist jünger als ihre Kusine;7;2013-01-01T20:26:10;7;6;
la dispute;der Streit;6;2013-01-02T17:02:06;7;1;
l´emploi, l´occupation;die Beschäftigung;3;2013-01-09T18:57:37;0;2;
ecoeurant;eklig;3;2013-01-08T00:13:07;1;1;
Occupe-toi de tes oignons;Kümmer Dich um Deinen eigenen Kram;5;2013-01-08T17:42:39;1;4;
gogol;bescheuert;4;2013-01-08T18:52:38;1;2;
le petit garcon est tributaire de notre aide;der kleine junge ist auf unsere hilfe angewiesen;3;2013-01-09T18:51:23;0;2;
tu ne peux quand meme pas aller si loin a pied! Je prefere t'y emmener en voiture;Du kannst doch nicht so weit zu Fuß gehen! Ich fahre dich lieber dorthin;6;2013-01-05T16:49:20;4;4;
Le vendeur voulait me persuader d'acheter cette voiture;Der Verkäufer wollte mich dazu überreden, diesen Wagen zu kaufen;2;2013-01-09T18:33:20;0;1;
se réchauffer;sich erwärmen;9;2013-01-08T00:14:40;1;33;
alterner, changer;wechseln;7;2013-01-01T20:23:16;8;5;
la precision;die Hinweise;9;2013-01-08T00:14:35;1;33;
le contrat;der Vertrag;8;2012-12-25T11:51:17;15;6;
il est jaloux de ses succès (d'une femme);er ist eifersüchtig auf ihre erfolge;4;2013-01-08T00:16:13;1;2;
calme;still;8;2012-12-24T12:38:56;16;5;
tutoiement;duzen;8;2013-01-03T22:53:24;5;16;
maitrisable;beherrschbar;6;2013-01-05T16:51:25;4;4;
enlever (ses vêtements);ausziehen;2;2013-01-09T18:57:26;0;1;
l´identification;das Erkennen;8;2012-12-26T11:17:04;14;7;
intelligent;gescheit;1;2013-01-09T18:58:38;0;1;
Es klappt nicht zwischen ihnen;Ça ne colle pas entre eux;3;2013-01-08T00:22:11;1;1;
je suis decidé a faire ce voyage;ich bin zu dieser reise entschlossen;3;2013-01-08T00:23:27;1;1;
la chaleur;die Hitze;8;2013-01-05T16:53:37;4;17;
la rumeur;Das Gerücht;8;2012-12-24T12:40:18;16;5;
un saut perilleux, une galipette;der Purzelbaum;7;2012-12-31T14:29:27;9;4;
émigrer quelque part	;irgendwohin auswandern;6;2013-01-02T17:01:42;7;1;
la neige;der Schnee;8;2012-12-24T12:40:01;16;5;
le danger;die Gefahr;2;2013-01-09T18:32:29;0;1;
le coup d'envoi;der Anpfiff;5;2013-01-08T17:41:37;1;4;
déménager;ausziehen;8;2012-12-24T12:39:05;16;5;
l'ecran;der Bildschirm;5;2013-01-04T21:44:08;4;1;
un jour ou l'autre;irgendwann;9;2013-01-08T00:23:15;1;33;
la salle de musculation;der Fitnessraum;6;2013-01-06T21:56:58;2;6;
mon oeil;so ein Quatsch;9;2013-01-08T00:22:44;1;33;
Je suis heureux de ton succès;Ich bin glücklich über deinen Erfolg;1;2013-01-09T19:40:03;0;1;
augmenter le volume;die lautstärke lauter stellen;5;2013-01-08T17:43:58;1;4;
n'y pense pas;Denk nicht daran;5;2013-01-04T21:43:10;4;1;
encombrer;überfüllen;8;2013-01-09T18:53:16;0;21;
Ce n'etait qu'une plaisanterie;Das war nur Spaß;7;2013-01-04T16:01:22;5;8;
la verité;die Wahrheit;8;2013-01-05T16:54:45;4;17;
ils sont survecu a la catastrophe;Sie haben die Katastrophe überlebt;5;2013-01-08T18:53:01;1;4;
le gardien de but;der Torwart;8;2012-12-24T12:39:57;16;5;
s'imaginer;vorstellen;8;2012-12-24T12:39:44;16;5;
garder, retenir;Behalten;7;2013-01-04T16:05:07;5;8;
par souci des convenances;anstandshalber;6;2013-01-05T16:55:32;4;4;
pour un certain temps,  passagèrement;vorübergehend;3;2013-01-09T18:32:25;0;2;
le natif de Berlin;der gebürtige Berliner;8;2012-12-24T12:40:44;16;5;
cataclysmique;vernichtend;7;2013-01-01T20:30:22;7;6;
grossir, exgérer;übertreiben;7;2013-01-04T16:02:23;5;8;
fidele, petante;genau;8;2012-12-25T11:57:08;15;6;
normalement, d'habitude;normalerweise;5;2013-01-09T18:57:32;0;5;
le cerveau;die Gehirn;8;2012-12-24T12:50:44;16;5;
surtout;vor allem;8;2012-12-31T14:30:24;9;12;
Plus les clients sont riche, plus ils sont pervert;Je Reicher die Gäste, desto perverser;6;2013-01-05T16:54:04;4;4;
le velours;der Samt;7;2013-01-08T17:42:47;1;12;
être plein à craquer;Gerammelt voll sein;5;2013-01-08T18:50:52;1;4;
en parlant couramment l'allemand, tu peux briguer un poste en Allemagne;Wenn du fließend Deutsch sprichst, kannst du dich um einen posten in Deutschland bewerben;5;2013-01-04T21:43:46;4;1;
capter, recevoir, accueillir;empfangen;8;2012-12-21T22:14:02;18;3;
une exhortation;die Ermahnung;5;2013-01-09T18:57:43;0;5;
la poetesse;die dichterin;8;2012-12-26T11:11:54;14;7;
se passer, se produire;geschehen;8;2013-01-04T16:11:43;5;16;
se lamenter;jammern;8;2012-12-26T11:18:27;14;7;
la soie;die Seide;7;2013-01-08T18:51:18;1;12;
le courreur de jupon;der Schürzenjäger;8;2013-01-05T16:54:39;4;17;
une arme a feu;die Schusswaffe ;4;2013-01-08T18:52:34;1;2;
Plus il y a de téléspectateurs plus le spot publicitaire coûte cher;Je größer die Zuschauerzahlen, desto teurer ist der Werbespot;4;2013-01-08T00:23:08;1;2;
La chaleur est accablante;Es ist unerträglich heiß;5;2013-01-04T21:44:02;4;1;
vendredi;freitag;5;2013-01-09T19:47:55;0;5;
l'etiquette;das Preisschild;4;2013-01-09T19:40:47;0;3;
considéré;angesehen;8;2012-12-24T12:42:58;16;5;
Je m'y attends;Ich bin darauf gefaßt;2;2013-01-09T18:58:31;0;1;
au moins, au minima, pour le moins;zumindest;3;2013-01-08T00:22:02;1;1;
Tu faut que tu ecoutes ce disque;Du mußt dir diese platte anhören;2;2013-01-09T18:58:02;0;1;
Nous ne pouvons rien changer à cette situation;wir können an dieser lage nichts ändern;2;2013-01-09T19:22:05;0;1;
Vousvoiement;Siezen;8;2013-01-05T16:57:36;4;17;
Cela me fait plaisir;Das macht mir Spaß;4;2013-01-08T18:53:27;1;2;
l'assurance;die versicherung;4;2013-01-08T18:51:10;1;2;
sans souci;unbeschwert;6;2013-01-09T19:21:34;0;8;
la fleur;die Blüte;3;2013-01-08T00:28:40;1;1;
payer;zahlen;9;2013-01-03T00:21:02;6;28;
il jouit de la vie;er genießt das leben;7;2013-01-08T18:49:56;1;12;
au total;zusammengezählt;8;2012-12-24T12:52:11;16;5;
l'habitude, la coutume;die Gewohnheit;3;2013-01-08T00:26:45;1;1;
constament;ständig;6;2013-01-01T20:31:52;7;1;
costume traditionelle;dirndl;9;2013-01-09T19:51:12;0;34;
un jeu de societe;das Gesellschaftsspiel;2;2013-01-09T19:49:19;0;1;
Célèbre;berühmt;8;2012-12-25T12:37:59;15;6;
le retour (action de retourner quelque chose);die rückgabe;7;2013-01-01T20:55:40;7;6;
La croissance s'accélère;Das Wachstum zieht an;1;2013-01-08T21:30:55;0;1;
ressembler;ähnlich sehen;8;2012-12-31T14:43:40;9;12;
C'est l'arnaque;Das ist Betrug;6;2013-01-01T20:35:58;7;1;
s´appliquer a;fleißig sein;8;2012-12-24T12:52:19;16;5;
le service civile;der Zivildienst;8;2013-01-05T17:01:39;4;17;
les annonces, les nouvelles;die meldungen;5;2013-01-08T18:55:44;1;4;
maintenant, alors, or;nun;8;2012-12-24T12:41:12;16;5;
Tu as mérité ta punition;Du hast die Strafe verdient;6;2013-01-06T21:57:43;2;6;
Il m'a envoyé une longue lettre;Er schickte mir einen langen Brief;3;2013-01-08T00:23:39;1;1;
la couche d'ozone;die Ozonschicht;8;2013-01-05T17:03:22;4;17;
effectivement;in der Tat;8;2012-12-24T12:40:59;16;5;
Il est évident qu'il a peur d'un scandale;Es ist offenbar, dass er sich vor einem Skandal fürchtet;5;2013-01-04T21:44:38;4;1;
oblique, de travers;schief;8;2012-12-24T12:54:51;16;5;
la brochure;das Heft;5;2013-01-05T17:59:54;4;1;
l'envoie;der Versend;7;2013-01-04T16:06:05;5;8;
une defaillance parielle;der Teilausfall;6;2013-01-01T20:34:27;7;1;
nommé;genannt;8;2012-12-25T12:46:00;15;6;
la priorité;die Gewichtung;4;2013-01-08T21:31:57;0;3;
la couille molle;das Weichei;7;2013-01-01T20:32:37;7;6;
completement, absolument;völlig;8;2012-12-24T12:41:09;16;5;
Cette villa n'est pas aussi cher que celle la;Diese villa ist nicht so teuer wie jene;7;2013-01-04T16:05:26;5;8;
autant pour nous;wir haben uns geirrt;6;2013-01-09T19:33:44;0;8;
en nageant il a bu trois fois la tasse;beim schwimmen hat er dreimal Wasser geschluckt;5;2013-01-09T19:40:22;0;5;
en profondeur;gründlich;6;2013-01-02T18:20:34;7;1;
le code de banque;die bankleitzahl;6;2013-01-05T17:00:19;4;4;
unheimlich;vachement;8;2013-01-04T16:08:26;5;16;
Y a-t-il des travaux en cours ?	;Gibt es derzeit Baustellen?;5;2013-01-09T18:28:40;0;5;
l'abattage (arbre);das Fällen;5;2013-01-08T22:02:35;0;5;
le devoir, l´obligation;die Pflicht;5;2013-01-05T17:02:13;4;1;
je manque toujours de temps;es fehlt mir immer an zeit;4;2013-01-08T18:54:58;1;2;
la premiere pierre, la fondation;der Grundstein;5;2013-01-06T22:58:11;2;3;
suporter quelque chose;ertragen;6;2013-01-09T19:25:43;0;8;
je suis curieux de savoir ce qui va se passer maintenant;ich bin darauf gespannt, was jetzt geschehen wird;5;2013-01-09T19:33:30;0;5;
Et que cela ne se reproduise pas;Und dass es nicht wieder vorkommt;3;2013-01-08T00:29:03;1;1;
la personne en question;der Betreffende;7;2012-12-31T14:57:03;9;4;
C'est trop de la balle;Das ist der Hammer;9;2013-01-09T19:48:07;0;34;
Tu devrais y renoncer;Du solltest darauf verzichten;5;2013-01-05T17:59:26;4;1;
le cercle des connaissances;der Bekanntenkreis;8;2012-12-26T11:18:48;14;7;
selon;gemäß;8;2012-12-25T12:47:40;15;6;
pays natal;die Heimat;8;2012-12-25T12:47:59;15;6;
le refugié;der Flüchtling;5;2013-01-05T17:58:47;4;1;
l´intuition, la premonition;die Vorahnung;6;2013-01-05T17:04:00;4;4;
greloter;bibbern;7;2013-01-04T16:05:11;5;8;
motif, cause;Anlass;8;2012-12-24T12:41:41;16;5;
la gomme;der Radiergummi;1;2013-01-08T21:36:12;0;1;
On n'a malheureusement pas pu l'éviter;Das ließ sich leider nicht vermeiden;3;2013-01-09T19:23:32;0;2;
le poéme;das Gedicht;7;2012-12-31T14:52:22;9;4;
la date;der Zeitpunkt;6;2013-01-09T19:43:44;0;8;
record boursier;Rekord an der Börse;6;2013-01-05T17:05:59;4;4;
le divorce;die Scheidung;6;2013-01-05T17:04:33;4;4;
Il a profité de l'occasion pour;Er nahm die Gelegenheit wahr um;1;2013-01-09T19:59:25;0;1;
se facher contre quelqu'un;mit jemandem schimpfen;5;2013-01-05T18:02:20;4;1;
semblable;ähnlich;9;2013-01-09T19:25:23;0;34;
l'invasion;der Einmarsch;8;2013-01-08T00:28:35;1;20;
une blessure perforante;die Stichverletzung;6;2013-01-09T19:35:31;0;8;
Aprés ce dur travail il a besoin de repos;Nach dieser schweren Arbeit braucht er Erholung;6;2013-01-05T17:04:58;4;4;
aprivoiser, dompter;bezwingen;8;2012-12-24T13:06:50;16;5;
craquer une allumette;ein Streichholz anstecken;4;2013-01-08T18:54:48;1;2;
surveiller quelqu'un;auf jemanden passen;6;2013-01-05T17:07:49;4;4;
la foi transporte les montagnes;der Glaube versetzt Berge;2;2013-01-09T19:50:20;0;1;
l´aviation;die Luftfahrt;8;2012-12-31T15:04:05;9;12;
mignon;goldig;9;2013-01-08T00:28:52;1;33;
la description;die Beschreibung;8;2012-12-25T12:55:54;15;6;
caraibe;karibisch;2;2013-01-09T19:48:01;0;1;
Elle s'est saignée aux quatre veines pour que son fils puisse finir ses études;Sie hat sich die größten Opfer auferlegt, damit ihr Sohn sein Studium beenden konnte;1;2013-01-08T21:41:19;0;1;
le buteur;der Stürmer;2;2013-01-09T19:51:05;0;1;
purement professionelle;rein geschäftlich;1;2013-01-09T19:41:00;0;1;
littéralement;buchstäblich;6;2013-01-02T18:19:17;7;1;
l'erreur (lat);der Irrtum;8;2012-12-31T15:03:52;9;12;
Mon oncle m'a invité à un voyage;Mein Onkel hat mich zu einer Reise eingeladen;2;2013-01-09T19:25:16;0;1;
vieillir;älter machen;8;2013-01-05T17:06:07;4;17;
durable;nachhaltig;8;2013-01-05T17:06:22;4;17;
lamentable;kläglich;5;2013-01-06T22:58:19;2;3;
pour une fois;ausnahmsweise;6;2013-01-06T21:57:27;2;6;
responsable;verantwortlich;8;2013-01-04T16:09:28;5;16;
magnifique;herrlich;8;2013-01-04T16:10:51;5;16;
contourner;unterlaufen;7;2013-01-01T20:39:42;7;6;
le tour de poitrine;die Oberweite;2;2013-01-09T19:40:29;0;1;
tenir une promesse	;ein Versprechen einlösen;4;2013-01-08T00:34:14;1;2;
supliand;flehend;6;2013-01-06T22:00:04;2;6;
meme;sogar;4;2013-01-08T00:31:10;1;2;
agresser, assaillir;angreifen;4;2013-01-08T21:32:42;0;3;
cette machine n'est pas appropriée à ce travail;diese maschine ist zu dieser arbeit nicht geeignet;3;2013-01-09T20:01:27;0;2;
mes plus beaux souvenirs de vacances;Meine schönsten Ferienerinnerungen;5;2013-01-05T17:59:46;4;1;
finalement;schließlich;2;2013-01-09T19:46:09;0;1;
Elle préfére boire du vin blanc que du vins rouge;Sie trinkt lieber weißwein als Rotwein;4;2013-01-08T18:59:10;1;2;
la condition, l´etat;der Zustand;7;2012-12-31T14:56:58;9;4;
la passion;die Leidenschaft;4;2013-01-08T18:54:02;1;2;
exulter;jubeln;8;2012-12-31T15:03:47;9;12;
recomandé;empfohlen;8;2012-12-31T15:00:45;9;12;
la peur;die Angst;6;2013-01-09T19:50:31;0;8;
le trottoir;der Gehweg;6;2013-01-05T17:10:17;4;4;
Elle bavarde des heures durant avec la voisine;Sie quatscht stundenlang mit der Nachbarin;1;2013-01-08T21:32:35;0;1;
aller au vert;Ins grüne fahren;8;2012-12-27T15:53:27;13;8;
l´entreprise;das Unternehmen;8;2012-12-25T12:57:30;15;6;
confortable;gemütlich;7;2013-01-08T21:29:26;0;13;
atendre;abwarten;7;2013-01-04T16:10:55;5;8;
à travers;dadurch;8;2012-12-26T11:18:23;14;7;
espace cosmique, univers;der Weltraum;9;2013-01-09T19:49:25;0;34;
se demener;toben;6;2013-01-05T17:08:39;4;4;
l´accalmie;die Windstille;7;2012-12-31T15:10:55;9;4;
Je suis du meme avis;Ich bin derselben meinung;3;2013-01-09T19:43:37;0;2;
elle s'approcha en chantant;Sie kam singend herbei;5;2013-01-09T19:50:40;0;5;
en face;nach vorne;7;2013-01-08T18:56:57;1;12;
se briser;zerreißen;3;2013-01-09T19:50:27;0;2;
evident, formel;eindeutig;4;2013-01-08T00:32:40;1;2;
l'exigence, la revendication;der Anspruch;7;2013-01-01T20:44:19;7;6;
Luise est aussi adroite que sa soeur;Luise ist so geschickt wie ihre Schwester;7;2012-12-31T15:11:14;9;4;
chercher quelqu'un du regard;sich nach jemandem umsehen;5;2013-01-09T19:49:55;0;5;
message decrit;beschriebene Nachricht;7;2013-01-08T21:31:47;0;13;
respirer;schnaufen;6;2013-01-06T21:57:09;2;6;
je ne suis pas capable d'un tel acte;zu einer solchen tat bin ich nicht fähig;4;2013-01-08T00:32:31;1;2;
le thermomètre;das Thermometer;6;2013-01-09T19:49:44;0;8;
l'innocent;der Unschuldige;6;2013-01-01T21:14:41;7;1;
la temperature est de moins 5 degrés;die Temperatur liegt bei minus 5 Grad;3;2013-01-09T19:54:06;0;2;
presque;nahezu;9;2013-01-08T00:33:39;1;33;
Comment pouriez vous decrire Berlin en un mot?;Wie würdest du Berlin mit einem Wort beschreiben?;3;2013-01-08T21:32:13;0;2;
certes;zwar;8;2012-12-25T13:08:28;15;6;
se marier;heiraten;7;2012-12-31T15:11:37;9;4;
rien ne se passe;tote hose;7;2013-01-01T20:39:48;7;6;
ça m'arrange (arrangement temporel);das kommt mir gelegen;1;2013-01-08T22:09:58;0;1;
Qu'est ce qui t'as donc incité à changer de métier?;Was hat dich denn dazu veranlaßt deinen Beruf zu wechseln?;1;2013-01-08T21:40:52;0;1;
se moquer de qn;jemanden auslachen;5;2013-01-08T18:58:37;1;4;
l´affluence;der Andrang;7;2013-01-04T16:10:13;5;8;
