Word;Definition/Translation/Association;Group;Last Interogation Date;Number of Days since the last interogation;Number of Days before the next interogation
Le vendeur voulait me persuader d'acheter cette voiture;Der Verkäufer wollte mich dazu überreden, diesen Wagen zu kaufen;1;2013-01-08T00:30:28.362931;0;1;
se réchauffer;sich erwärmen;9;2013-01-08T00:14:40.147348;0;34;
alterner, changer;wechseln;7;2013-01-01T20:23:16;6;7;
la precision;die Hinweise;9;2013-01-08T00:14:35.035194;0;34;
le contrat;der Vertrag;8;2012-12-25T11:51:17;13;8;
il est jaloux de ses succès (d'une femme);er ist eifersüchtig auf ihre erfolge;4;2013-01-08T00:16:13.362892;0;3;
calme;still;8;2012-12-24T12:38:56;14;7;
tutoiement;duzen;8;2013-01-03T22:53:24;4;17;
maitrisable;beherrschbar;6;2013-01-05T16:51:25;2;6;
enlever (ses vêtements);ausziehen;1;2013-01-08T00:18:50.219264;0;1;
l´identification;das Erkennen;8;2012-12-26T11:17:04;12;9;
intelligent;gescheit;7;2012-12-27T10:53:08;11;2;
Es klappt nicht zwischen ihnen;Ça ne colle pas entre eux;3;2013-01-08T00:22:11.987236;0;2;
je suis decidé a faire ce voyage;ich bin zu dieser reise entschlossen;3;2013-01-08T00:23:27.962864;0;2;
la chaleur;die Hitze;8;2013-01-05T16:53:37;2;19;
la rumeur;Das Gerücht;8;2012-12-24T12:40:18;14;7;
un saut perilleux, une galipette;der Purzelbaum;7;2012-12-31T14:29:27;7;6;
émigrer quelque part	;irgendwohin auswandern;6;2013-01-02T17:01:42;5;3;
la neige;der Schnee;8;2012-12-24T12:40:01;14;7;
le danger;die Gefahr;1;2013-01-08T00:28:21.738763;0;1;
le coup d'envoi;der Anpfiff;4;2013-01-05T16:57:22;2;1;
déménager;ausziehen;8;2012-12-24T12:39:05;14;7;
l'ecran;der Bildschirm;5;2013-01-04T21:44:08;3;2;
un jour ou l'autre;irgendwann;9;2013-01-08T00:23:15.754878;0;34;
la salle de musculation;der Fitnessraum;6;2013-01-06T21:56:58;1;7;
mon oeil;so ein Quatsch;9;2013-01-08T00:22:44.803240;0;34;
Je suis heureux de ton succès;Ich bin glücklich über deinen Erfolg;2;2013-01-08T00:20:37.179125;0;1;
augmenter le volume;die lautstärke lauter stellen;4;2013-01-05T16:54:57;2;1;
n'y pense pas;Denk nicht daran;5;2013-01-04T21:43:10;3;2;
encombrer;überfüllen;7;2012-12-27T11:09:35;11;2;
Ce n'etait qu'une plaisanterie;Das war nur Spaß;7;2013-01-04T16:01:22;3;10;
la verité;die Wahrheit;8;2013-01-05T16:54:45;2;19;
ils sont survecu a la catastrophe;Sie haben die Katastrophe überlebt;4;2013-01-05T16:55:43;2;1;
le gardien de but;der Torwart;8;2012-12-24T12:39:57;14;7;
s'imaginer;vorstellen;8;2012-12-24T12:39:44;14;7;
garder, retenir;Behalten;7;2013-01-04T16:05:07;3;10;
par souci des convenances;anstandshalber;6;2013-01-05T16:55:32;2;6;
pour un certain temps,  passagèrement;vorübergehend;2;2013-01-08T00:18:29.059019;0;1;
le natif de Berlin;der gebürtige Berliner;8;2012-12-24T12:40:44;14;7;
cataclysmique;vernichtend;7;2013-01-01T20:30:22;6;7;
grossir, exgérer;übertreiben;7;2013-01-04T16:02:23;3;10;
fidele, petante;genau;8;2012-12-25T11:57:08;13;8;
normalement, d'habitude;normalerweise;4;2013-01-06T16:43:16;1;2;
le cerveau;die Gehirn;8;2012-12-24T12:50:44;14;7;
surtout;vor allem;8;2012-12-31T14:30:24;7;14;
Plus les clients sont riche, plus ils sont pervert;Je Reicher die Gäste, desto perverser;6;2013-01-05T16:54:04;2;6;
le velours;der Samt;6;2012-12-31T14:32:10;7;1;
être plein à craquer;Gerammelt voll sein;4;2013-01-05T16:56:04;2;1;
en parlant couramment l'allemand, tu peux briguer un poste en Allemagne;Wenn du fließend Deutsch sprichst, kannst du dich um einen posten in Deutschland bewerben;5;2013-01-04T21:43:46;3;2;
capter, recevoir, accueillir;empfangen;8;2012-12-21T22:14:02;17;4;
une exhortation;die Ermahnung;4;2013-01-06T16:46:08;1;2;
la poetesse;die dichterin;8;2012-12-26T11:11:54;12;9;
se passer, se produire;geschehen;8;2013-01-04T16:11:43;3;18;
se lamenter;jammern;8;2012-12-26T11:18:27;12;9;
la soie;die Seide;6;2012-12-31T14:36:08;7;1;
le courreur de jupon;der Schürzenjäger;8;2013-01-05T16:54:39;2;19;
une arme a feu;die Schusswaffe ;3;2013-01-06T18:13:02;1;1;
Plus il y a de téléspectateurs plus le spot publicitaire coûte cher;Je größer die Zuschauerzahlen, desto teurer ist der Werbespot;4;2013-01-08T00:23:08.658707;0;3;
La chaleur est accablante;Es ist unerträglich heiß;5;2013-01-04T21:44:02;3;2;
vendredi;freitag;4;2013-01-06T16:47:25;1;2;
l'etiquette;das Preisschild;5;2013-01-03T22:38:12;4;1;
considéré;angesehen;8;2012-12-24T12:42:58;14;7;
Je m'y attends;Ich bin darauf gefaßt;3;2013-01-06T18:09:47;1;1;
au moins, au minima, pour le moins;zumindest;3;2013-01-08T00:22:02.923270;0;2;
Tu faut que tu ecoutes ce disque;Du mußt dir diese platte anhören;1;2013-01-08T00:26:59.251442;0;1;
Nous ne pouvons rien changer à cette situation;wir können an dieser lage nichts ändern;0;2013-01-08T00:37:43.378780;0;0;
Vousvoiement;Siezen;8;2013-01-05T16:57:36;2;19;
Cela me fait plaisir;Das macht mir Spaß;3;2013-01-06T18:12:23;1;1;
serviable;hilfsbereit;9;2013-01-08T00:28:46.658860;0;34;
l'assurance;die versicherung;3;2013-01-06T18:16:57;1;1;
sans souci;unbeschwert;5;2013-01-03T22:36:49;4;1;
la fleur;die Blüte;3;2013-01-08T00:28:40.043389;0;2;
payer;zahlen;9;2013-01-03T00:21:02;5;30;
il jouit de la vie;er genießt das leben;6;2012-12-31T14:36:24;7;1;
au total;zusammengezählt;8;2012-12-24T12:52:11;14;7;
l'habitude, la coutume;die Gewohnheit;3;2013-01-08T00:26:45.811074;0;2;
constament;ständig;6;2013-01-01T20:31:52;6;2;
costume traditionelle;dirndl;8;2012-12-18T23:45:23;20;1;
un jeu de societe;das Gesellschaftsspiel;1;2013-01-08T00:30:49.203283;0;1;
Célèbre;berühmt;8;2012-12-25T12:37:59;13;8;
le retour (action de retourner quelque chose);die rückgabe;7;2013-01-01T20:55:40;6;7;
La croissance s'accélère;Das Wachstum zieht an;4;2013-01-05T17:02:08;2;1;
ressembler;ähnlich sehen;8;2012-12-31T14:43:40;7;14;
C'est l'arnaque;Das ist Betrug;6;2013-01-01T20:35:58;6;2;
s´appliquer a;fleißig sein;8;2012-12-24T12:52:19;14;7;
le service civile;der Zivildienst;8;2013-01-05T17:01:39;2;19;
les annonces, les nouvelles;die meldungen;4;2013-01-05T16:59:30;2;1;
maintenant, alors, or;nun;8;2012-12-24T12:41:12;14;7;
Tu as mérité ta punition;Du hast die Strafe verdient;6;2013-01-06T21:57:43;1;7;
Il m'a envoyé une longue lettre;Er schickte mir einen langen Brief;3;2013-01-08T00:23:39.931228;0;2;
la couche d'ozone;die Ozonschicht;8;2013-01-05T17:03:22;2;19;
effectivement;in der Tat;8;2012-12-24T12:40:59;14;7;
Il est évident qu'il a peur d'un scandale;Es ist offenbar, dass er sich vor einem Skandal fürchtet;5;2013-01-04T21:44:38;3;2;
oblique, de travers;schief;8;2012-12-24T12:54:51;14;7;
la brochure;das Heft;5;2013-01-05T17:59:54;2;3;
l'envoie;der Versend;7;2013-01-04T16:06:05;3;10;
une defaillance parielle;der Teilausfall;6;2013-01-01T20:34:27;6;2;
nommé;genannt;8;2012-12-25T12:46:00;13;8;
la priorité;die Gewichtung;3;2013-01-06T18:14:28;1;1;
la couille molle;das Weichei;7;2013-01-01T20:32:37;6;7;
completement, absolument;völlig;8;2012-12-24T12:41:09;14;7;
Cette villa n'est pas aussi cher que celle la;Diese villa ist nicht so teuer wie jene;7;2013-01-04T16:05:26;3;10;
autant pour nous;wir haben uns geirrt;5;2013-01-03T22:39:11;4;1;
en nageant il a bu trois fois la tasse;beim schwimmen hat er dreimal Wasser geschluckt;4;2013-01-06T16:47:57;1;2;
en profondeur;gründlich;6;2013-01-02T18:20:34;5;3;
le code de banque;die bankleitzahl;6;2013-01-05T17:00:19;2;6;
unheimlich;vachement;8;2013-01-04T16:08:26;3;18;
Y a-t-il des travaux en cours ?	;Gibt es derzeit Baustellen?;4;2013-01-06T16:42:56;1;2;
l'abattage (arbre);das Fällen;4;2013-01-05T17:03:01;2;1;
le devoir, l´obligation;die Pflicht;5;2013-01-05T17:02:13;2;3;
je manque toujours de temps;es fehlt mir immer an zeit;3;2013-01-06T18:18:40;1;1;
la premiere pierre, la fondation;der Grundstein;5;2013-01-06T22:58:11;1;4;
suporter quelque chose;ertragen;7;2012-12-27T13:02:04;11;2;
je suis curieux de savoir ce qui va se passer maintenant;ich bin darauf gespannt, was jetzt geschehen wird;4;2013-01-06T16:48:29;1;2;
Et que cela ne se reproduise pas;Und dass es nicht wieder vorkommt;3;2013-01-08T00:29:03.507236;0;2;
la personne en question;der Betreffende;7;2012-12-31T14:57:03;7;6;
C'est trop de la balle;Das ist der Hammer;8;2012-12-18T23:54:37;20;1;
Tu devrais y renoncer;Du solltest darauf verzichten;5;2013-01-05T17:59:26;2;3;
le cercle des connaissances;der Bekanntenkreis;8;2012-12-26T11:18:48;12;9;
selon;gemäß;8;2012-12-25T12:47:40;13;8;
pays natal;die Heimat;8;2012-12-25T12:47:59;13;8;
le refugié;der Flüchtling;5;2013-01-05T17:58:47;2;3;
l´intuition, la premonition;die Vorahnung;6;2013-01-05T17:04:00;2;6;
greloter;bibbern;7;2013-01-04T16:05:11;3;10;
motif, cause;Anlass;8;2012-12-24T12:41:41;14;7;
la gomme;der Radiergummi;3;2013-01-06T18:14:33;1;1;
On n'a malheureusement pas pu l'éviter;Das ließ sich leider nicht vermeiden;2;2013-01-08T00:26:03.475325;0;1;
le poéme;das Gedicht;7;2012-12-31T14:52:22;7;6;
la date;der Zeitpunkt;7;2012-12-27T11:31:15;11;2;
record boursier;Rekord an der Börse;6;2013-01-05T17:05:59;2;6;
le divorce;die Scheidung;6;2013-01-05T17:04:33;2;6;
Il a profité de l'occasion pour;Er nahm die Gelegenheit wahr um;1;2013-01-08T00:31:47.587264;0;1;
se facher contre quelqu'un;mit jemandem schimpfen;5;2013-01-05T18:02:20;2;3;
semblable;ähnlich;8;2012-12-18T23:50:15;20;1;
l'invasion;der Einmarsch;8;2013-01-08T00:28:35.699293;0;21;
une blessure perforante;die Stichverletzung;7;2012-12-27T13:14:14;11;2;
Aprés ce dur travail il a besoin de repos;Nach dieser schweren Arbeit braucht er Erholung;6;2013-01-05T17:04:58;2;6;
aprivoiser, dompter;bezwingen;8;2012-12-24T13:06:50;14;7;
craquer une allumette;ein Streichholz anstecken;3;2013-01-06T18:17:26;1;1;
surveiller quelqu'un;auf jemanden passen;6;2013-01-05T17:07:49;2;6;
la foi transporte les montagnes;der Glaube versetzt Berge;1;2013-01-08T00:32:14.131178;0;1;
l´aviation;die Luftfahrt;8;2012-12-31T15:04:05;7;14;
mignon;goldig;9;2013-01-08T00:28:52.475286;0;34;
la description;die Beschreibung;8;2012-12-25T12:55:54;13;8;
caraibe;karibisch;0;2013-01-08T00:32:44.179349;0;0;
Elle s'est saignée aux quatre veines pour que son fils puisse finir ses études;Sie hat sich die größten Opfer auferlegt, damit ihr Sohn sein Studium beenden konnte;4;2013-01-05T17:05:47;2;1;
le buteur;der Stürmer;1;2013-01-08T00:32:36.979268;0;1;
purement professionelle;rein geschäftlich;2;2013-01-08T00:27:07.819215;0;1;
littéralement;buchstäblich;6;2013-01-02T18:19:17;5;3;
l'erreur (lat);der Irrtum;8;2012-12-31T15:03:52;7;14;
Mon oncle m'a invité à un voyage;Mein Onkel hat mich zu einer Reise eingeladen;0;2013-01-08T00:38:16.443410;0;0;
vieillir;älter machen;8;2013-01-05T17:06:07;2;19;
durable;nachhaltig;8;2013-01-05T17:06:22;2;19;
lamentable;kläglich;5;2013-01-06T22:58:19;1;4;
pour une fois;ausnahmsweise;6;2013-01-06T21:57:27;1;7;
responsable;verantwortlich;8;2013-01-04T16:09:28;3;18;
magnifique;herrlich;8;2013-01-04T16:10:51;3;18;
contourner;unterlaufen;7;2013-01-01T20:39:42;6;7;
le tour de poitrine;die Oberweite;0;2013-01-08T00:29:27.308182;0;0;
tenir une promesse	;ein Versprechen einlösen;4;2013-01-08T00:34:14.978937;0;3;
supliand;flehend;6;2013-01-06T22:00:04;1;7;
meme;sogar;4;2013-01-08T00:31:10.539244;0;3;
agresser, assaillir;angreifen;3;2013-01-06T18:17:30;1;1;
cette machine n'est pas appropriée à ce travail;diese maschine ist zu dieser arbeit nicht geeignet;2;2013-01-08T00:32:04.019275;0;1;
mes plus beaux souvenirs de vacances;Meine schönsten Ferienerinnerungen;5;2013-01-05T17:59:46;2;3;
finalement;schließlich;0;2013-01-08T00:29:12.563214;0;0;
Elle préfére boire du vin blanc que du vins rouge;Sie trinkt lieber weißwein als Rotwein;3;2013-01-06T18:18:06;1;1;
la condition, l´etat;der Zustand;7;2012-12-31T14:56:58;7;6;
la passion;die Leidenschaft;3;2013-01-06T18:17:04;1;1;
exulter;jubeln;8;2012-12-31T15:03:47;7;14;
recomandé;empfohlen;8;2012-12-31T15:00:45;7;14;
la peur;die Angst;5;2013-01-03T22:43:34;4;1;
le trottoir;der Gehweg;6;2013-01-05T17:10:17;2;6;
Elle bavarde des heures durant avec la voisine;Sie quatscht stundenlang mit der Nachbarin;4;2013-01-05T17:08:53;2;1;
aller au vert;Ins grüne fahren;8;2012-12-27T15:53:27;11;10;
l´entreprise;das Unternehmen;8;2012-12-25T12:57:30;13;8;
confortable;gemütlich;6;2012-12-31T15:05:50;7;1;
atendre;abwarten;7;2013-01-04T16:10:55;3;10;
à travers;dadurch;8;2012-12-26T11:18:23;12;9;
espace cosmique, univers;der Weltraum;8;2012-12-18T23:59:27;20;2;
se demener;toben;6;2013-01-05T17:08:39;2;6;
l´accalmie;die Windstille;7;2012-12-31T15:10:55;7;6;
Je suis du meme avis;Ich bin derselben meinung;2;2013-01-08T00:34:23.715216;0;1;
elle s'approcha en chantant;Sie kam singend herbei;4;2013-01-06T16:47:22;1;2;
en face;nach vorne;6;2012-12-31T15:05:41;7;1;
se briser;zerreißen;2;2013-01-08T00:31:16.323123;0;1;
evident, formel;eindeutig;4;2013-01-08T00:32:40.683311;0;3;
l'exigence, la revendication;der Anspruch;7;2013-01-01T20:44:19;6;7;
Luise est aussi adroite que sa soeur;Luise ist so geschickt wie ihre Schwester;7;2012-12-31T15:11:14;7;6;
chercher quelqu'un du regard;sich nach jemandem umsehen;4;2013-01-06T16:48:40;1;2;
message decrit;beschriebene Nachricht;6;2012-12-31T15:11:58;7;1;
se contracter, se crisper;anspannen;8;2013-01-03T22:31:59;4;17;
je ne suis pas capable d'un tel acte;zu einer solchen tat bin ich nicht fähig;4;2013-01-08T00:32:31.499261;0;3;
le thermomètre;das Thermometer;7;2012-12-27T13:15:36;11;2;
l'innocent;der Unschuldige;6;2013-01-01T21:14:41;6;2;
la temperature est de moins 5 degrés;die Temperatur liegt bei minus 5 Grad;2;2013-01-08T00:31:07.762915;0;1;
presque;nahezu;9;2013-01-08T00:33:39.027083;0;34;
Comment pouriez vous decrire Berlin en un mot?;Wie würdest du Berlin mit einem Wort beschreiben?;2;2013-01-06T18:18:31;1;0;
